iter	TotalF1	MultiClass
485	0.8558964913	0.5540898354
486	0.8558964913	0.5539860119
487	0.8561821897	0.553124987
488	0.8563517911	0.5524209756
489	0.8567577397	0.5518147281
490	0.8570715268	0.5515012319
491	0.856974964	0.5514274062
492	0.8571477875	0.5509158657
493	0.8572371752	0.550674102
494	0.8572371752	0.5505793806
495	0.8570504975	0.5501607458
496	0.8573467559	0.5494970508
497	0.8574587203	0.549232921
498	0.8575588913	0.5489783921
499	0.8579317269	0.5487558276
500	0.8579317269	0.5485862045
501	0.8579739381	0.5484429901
502	0.8577430821	0.5481132891
503	0.8578130718	0.5480257556
504	0.8580216675	0.5478842612
505	0.8580216675	0.5477971047
506	0.8580216675	0.5476744778
507	0.8581021345	0.5474972146
508	0.8582726854	0.5474017601
509	0.8582726854	0.5472863088
510	0.8582726854	0.5471880642
511	0.8582643858	0.5470888889
512	0.8585656016	0.5464207621
513	0.8582216689	0.5461559113
514	0.8586848264	0.5456828859
515	0.8591692263	0.5455100697
516	0.8594813864	0.545313081
517	0.8596490571	0.5452166302
518	0.8597191367	0.5451655586
519	0.8599685157	0.5450581707
520	0.8599334748	0.5449382594
521	0.8603336779	0.5447836908
522	0.8603336779	0.544666006
523	0.8603336779	0.5444524673
524	0.8603625861	0.5441763268
525	0.8605745947	0.5439728488
526	0.8607829779	0.543858491
527	0.860818005	0.5437809454
528	0.860818005	0.5436774485
529	0.8606398979	0.5431306422
530	0.8608002929	0.542557296
531	0.8608647691	0.5422989328
532	0.8610075706	0.5421526499
533	0.860973117	0.5420709669
534	0.8610547558	0.5418426031
535	0.8613731067	0.5417116178
536	0.8613280559	0.5413512226
537	0.8614260137	0.5412914081
538	0.8613548619	0.5411715644
539	0.8614793095	0.5410545579
540	0.8620732512	0.5407424283
541	0.8620806591	0.5404744619
542	0.8618075103	0.5402136257
543	0.8618075103	0.5400988269
544	0.8628785825	0.5393257565
545	0.8627438437	0.5391503068
546	0.8624398695	0.5383764125
547	0.8624462176	0.5380194502
548	0.8631442176	0.5376852342
549	0.8631442176	0.5375909589
550	0.8634367735	0.5372833183
551	0.8634367735	0.5371398476
552	0.8637272397	0.5368797126
553	0.8637272397	0.5368252696
554	0.8637272397	0.536690349
555	0.8639311434	0.5363801214
556	0.8641919943	0.5361003112
557	0.8646371887	0.5359831047
558	0.8646752641	0.5358496672
559	0.8645046932	0.5356493136
560	0.8643499141	0.5348799059
561	0.8643499141	0.5347053434
562	0.8643902501	0.5346500745
563	0.8647334018	0.534224124
